[495] Ciekawa Interessante Höhle
SURVEY NAME: 2018-08-12 - URODZINY 2
SURVEY DATE: 8 12 2018  COMMENT:   Jakub Pysz (Palm), Adam Wladzinski, Filip Filar
SURVEY TEAM:

DECLINATION:     3.55  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT
R:1.33       R:1.34          24.02    95.27     3.03     0.00     0.00     0.00     0.00
R:1.34       R:1.35          19.78   179.82    11.25     0.00     0.00     0.00     0.00
R:1.35       R:1.36          11.29   183.10    23.72     0.00     0.00     0.00     0.00
R:1.36       R:1.37          15.85   228.88    19.20     0.00     0.00     0.00     0.00
R:1.37       R:1.38           6.36   123.29   -41.59     0.00     0.00     0.00     0.00
R:1.38       R:1.39          15.52   164.47    39.03     0.00     0.00     0.00     0.00
R:1.11       R:1.40          24.11   139.14    -1.31     0.00     0.00     0.00     0.00
R:1.40       R:1.41          25.69    42.99    -2.22     0.00     0.00     0.00     0.00
R:1.41       R:1.42           9.84     2.90   -28.20     0.00     0.00     0.00     0.00
R:1.42       R:1.43          28.77    63.99   -30.30     0.00     0.00     0.00     0.00
R:1.43       R:1.44          30.22    54.58   -47.30     0.00     0.00     0.00     0.00
R:1.44       R:1.45          10.20   131.16    -7.98     0.00     0.00     0.00     0.00
R:1.45       R:1.46          31.04   159.04   -17.92     0.00     0.00     0.00     0.00
R:1.46       R:1.47           6.17   304.68    -1.64     0.00     0.00     0.00     0.00
R:1.47       R:1.48           6.40   150.51     6.63     0.00     0.00     0.00     0.00
R:1.48       R:1.49          21.88   119.62   -17.01     0.00     0.00     0.00     0.00
R:1.49       R:1.50          21.29   106.98   -15.20     0.00     0.00     0.00     0.00
R:1.50       R:1.51          22.57   149.99     0.67     0.00     0.00     0.00     0.00
R:1.51       R:1.52           8.40   209.59   -22.88     0.00     0.00     0.00     0.00
R:1.52       R:1.53          16.31   126.29   -27.15     0.00     0.00     0.00     0.00
R:1.53       R:1.54          10.96   150.30    23.38     0.00     0.00     0.00     0.00
R:1.12       R:1.12.a        20.83    23.63   -55.74     0.00     0.00     0.00     0.00  ;domiar
R:1.18       R:1.18.a        20.08   293.48   -27.10     0.00     0.00     0.00     0.00  ;domiar
R:1.39       R:1.39.a        19.59   208.10    10.51     0.00     0.00     0.00     0.00  ;domiar
R:1.54       R:1.54.a        16.31   109.57   -82.79     0.00     0.00     0.00     0.00  ;domiar
R:1.2        Z:1.2            0.00     0.00     0.00     0.00     0.00     0.00     0.00  ;#UNITS meters order=DAV
Z:1.2        Z:1.3           16.14   110.49    17.10     0.00     0.00     0.00     0.00
Z:1.3        Z:1.3.a         36.61   269.79    65.79     0.00     0.00     0.00     0.00  ;domiar
Z:1.3        Z:1.4           18.50    78.58     4.21     0.00     0.00     0.00     0.00
Z:1.4        Z:1.5           17.85   159.02     6.32     0.00     0.00     0.00     0.00
Z:1.5        Z:1.6            6.92   192.71     9.52     0.00     0.00     0.00     0.00
Z:1.6        Z:1.6.1         16.11   161.56     1.22     0.00     0.00     0.00     0.00  ;domiar

[495] Ciekawa Interessante Höhle
SURVEY NAME: 2017-08-12 - TONIETU
SURVEY DATE: 8 12 2017  COMMENT:   Dariusz Lubomski (Palm), Adam Wladzinski(Disto-X), Tomasz Olczak(spray)
SURVEY TEAM:

DECLINATION:     3.42  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

wm020.01     AA:1.0           0.00     0.00     0.00     0.00     0.00     0.00     0.00
AA:1.25      wm036.02         0.00     0.00     0.00     0.00     0.00     0.00     0.00
AA:1.26      wm036.01         0.00     0.00     0.00     0.00     0.00     0.00     0.00
AA:1.27      wm036            0.00     0.00     0.00     0.00     0.00     0.00     0.00
AA:1.0       AA:1.1          47.31   338.14    -2.87     0.00     0.00     0.00     0.00
AA:1.1       AA:1.2          18.04   350.38   -41.91     0.00     0.00     0.00     0.00
AA:1.2       AA:1.3           7.05   303.48   -27.21     0.00     0.00     0.00     0.00
AA:1.3       AA:1.4           6.30   293.31   -15.61     0.00     0.00     0.00     0.00
AA:1.4       AA:1.5           3.97    12.50     1.85     0.00     0.00     0.00     0.00
AA:1.5       AA:1.6           9.19   302.01    23.86     0.00     0.00     0.00     0.00
AA:1.6       AA:1.7           5.51   268.22    -4.82     0.00     0.00     0.00     0.00
AA:1.7       AA:1.8           7.35    17.84     7.86     0.00     0.00     0.00     0.00
AA:1.8       AA:1.9          17.32   294.27    39.80     0.00     0.00     0.00     0.00
AA:1.9       AA:1.10          5.45   352.30    -2.59     0.00     0.00     0.00     0.00
AA:1.8       AA:1.11         12.80   300.21    15.90     0.00     0.00     0.00     0.00
AA:1.11      AA:1.12          7.94   245.47     6.07     0.00     0.00     0.00     0.00
AA:1.12      AA:1.13          3.54   201.94    15.94     0.00     0.00     0.00     0.00
AA:1.6       AA:1.14         22.38   247.19     0.67     0.00     0.00     0.00     0.00
AA:1.14      AA:1.15          2.07   145.65    16.24     0.00     0.00     0.00     0.00
AA:1.15      AA:1.16         12.53   234.67   -12.28     0.00     0.00     0.00     0.00
AA:1.16      AA:1.17          7.64   185.04     4.56     0.00     0.00     0.00     0.00
AA:1.17      AA:1.18          5.15   207.42     8.37     0.00     0.00     0.00     0.00
AA:1.18      AA:1.19          5.45   141.33    20.20     0.00     0.00     0.00     0.00
AA:1.19      AA:1.20          7.84   222.30     2.04     0.00     0.00     0.00     0.00
AA:1.20      AA:1.21          4.95   212.75    -6.42     0.00     0.00     0.00     0.00
AA:1.21      AA:1.22          4.33   283.20   -17.73     0.00     0.00     0.00     0.00
AA:1.25      AA:1.22          6.53   125.56    80.91     0.00     0.00     0.00     0.00  ;1.23
AA:1.25      AA:1.26         11.55   175.45     8.48     0.00     0.00     0.00     0.00
AA:1.26      AA:1.27         10.33   207.98    59.89     0.00     0.00     0.00     0.00
AA:1.8       AA:1.8.a        44.82    51.42   -62.68     0.00     0.00     0.00     0.00  ;domiar
AA:1.10      AA:1.10.a       10.56   321.17     4.98     0.00     0.00     0.00     0.00  ;domiar
AA:1.13      AA:1.13.a        7.78   255.45    25.09     0.00     0.00     0.00     0.00  ;domiar

