[479] Kasztanowa Kastanienhohle
SURVEY NAME: PETLA NAD DZIURAWYM KOMINEM
SURVEY DATE: 8 3 2003  COMMENT:   Marcin Kaniewski(book), Jaroslaw Jezusek(Instruments)
SURVEY TEAM:

DECLINATION:     1.76  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT
    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

n38          100             64.30   306.00    85.00     0.00     0.00     0.00     0.00
n37          n38             50.79   224.00    64.00     0.00     0.00     0.00     0.00
n36          n37             20.37   304.00    53.00     0.00     0.00     0.00     0.00
n35          n36             34.51   156.00    20.00     0.00     0.00     0.00     0.00
n34          n35             12.99   206.00    56.00     0.00     0.00     0.00     0.00
n33          n34             12.63   208.00    42.00     0.00     0.00     0.00     0.00
n32          n33             22.60   208.00    85.00     0.00     0.00     0.00     0.00
n31          n32             25.95   184.00     4.00     0.00     0.00     0.00     0.00
n30          n31              2.95     0.00   -90.00     0.00     0.00     0.00     0.00
n29          n30              7.51   177.00     4.00     0.00     0.00     0.00     0.00
n28          n29             19.95   289.00    27.00     0.00     0.00     0.00     0.00
n27          n28              9.35   225.00   -15.00     0.00     0.00     0.00     0.00
n26          n27             12.30   175.00     4.00     0.00     0.00     0.00     0.00
n25          n26              5.18   137.00   -23.00     0.00     0.00     0.00     0.00
n24          n25             12.99   236.00     7.00     0.00     0.00     0.00     0.00
n23          n24             14.40   199.00    10.00     0.00     0.00     0.00     0.00
n22          n23              8.86   150.00     7.00     0.00     0.00     0.00     0.00
n21          n22              5.28   207.00    45.00     0.00     0.00     0.00     0.00
n20          n21             10.33   166.00    30.00     0.00     0.00     0.00     0.00
n19          n20              5.61   126.00     4.00     0.00     0.00     0.00     0.00
n18          n19             33.89   150.00    87.00     0.00     0.00     0.00     0.00
n18          n18'            22.24    16.00    21.00     0.00     0.00     0.00     0.00
n17          n18             24.05   138.00    30.00     0.00     0.00     0.00     0.00
n16          n17             18.73   237.00    40.00     0.00     0.00     0.00     0.00
n15          n16             10.30   192.00    41.00     0.00     0.00     0.00     0.00
n14          n15              5.41   310.00     4.00     0.00     0.00     0.00     0.00
n13          n14              5.25     0.00   -90.00     0.00     0.00     0.00     0.00
n12          n13             26.25   242.00    11.00     0.00     0.00     0.00     0.00
n12          n12'            14.27   340.00     0.00     0.00     0.00     0.00     0.00
n12          n12''            9.32   152.00     0.00     0.00     0.00     0.00     0.00
n11          n12             11.58   280.00    12.00     0.00     0.00     0.00     0.00
n10          n11             27.07   198.00    20.00     0.00     0.00     0.00     0.00
n9           n10             32.12   284.00    12.00     0.00     0.00     0.00     0.00
n8           n9              12.83   202.00    13.00     0.00     0.00     0.00     0.00
n7           n8              12.47   258.00     8.00     0.00     0.00     0.00     0.00
n6           n7              25.46   199.00     6.00     0.00     0.00     0.00     0.00
n5           n6               9.74   114.00    -3.00     0.00     0.00     0.00     0.00
n4           n5              17.55   222.00    14.00     0.00     0.00     0.00     0.00
n3           n4              20.08   237.00     5.00     0.00     0.00     0.00     0.00
n2           n3               5.41   151.00   -14.00     0.00     0.00     0.00     0.00
n1           n2              21.59   243.00    -7.00     0.00     0.00     0.00     0.00

[479] Kasztanowa Kastanienhohle
SURVEY NAME: BOK
SURVEY DATE: 8 19 2002  COMMENT:  ;#DATE 2002-08-19
SURVEY TEAM:

DECLINATION:     1.67  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

10           15              30.45    12.00     8.00     0.00     0.00     0.00     0.00
15           15'             18.04   354.00    11.00     0.00     0.00     0.00     0.00
15           16              13.71    55.00    36.00     0.00     0.00     0.00     0.00

[479] Kasztanowa Kastanienhohle
SURVEY NAME: POMIAR Z VASKIEM PRZYRZADAMI STOPNIE PLU
SURVEY DATE: 8 19 2002  COMMENT:  ;#DATE 2002-08-19
SURVEY TEAM:

DECLINATION:     1.67  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

1'           20              21.98    30.00     0.00     0.00     0.00     0.00     0.00
20           82              30.25    40.00   -45.00     0.00     0.00     0.00     0.00
99           100             15.16   130.00   -40.50     0.00     0.00     0.00     0.00
82           21              16.80   260.00    -1.80     0.00     0.00     0.00     0.00
21           22              17.09   320.00   -13.50     0.00     0.00     0.00     0.00
22           22'             12.86    52.00    -9.90     0.00     0.00     0.00     0.00
22           23              13.32   292.00   -56.70     0.00     0.00     0.00     0.00

[479] Kasztanowa Kastanienhohle
SURVEY NAME: KASZTANOWA SOPOCKA BUSOLA PIERWSZY POMIA
SURVEY DATE: 8 19 2002  COMMENT:  ;azymut byl -10
SURVEY TEAM:

DECLINATION:     1.67  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

83           82              12.47   350.00    72.00     0.00     0.00     0.00     0.00
84           83              17.72   228.00    28.00     0.00     0.00     0.00     0.00
85           84              65.62   240.00    59.00     0.00     0.00     0.00     0.00
86           85              29.46   200.00    12.00     0.00     0.00     0.00     0.00
87           86              17.06   230.00    42.00     0.00     0.00     0.00     0.00
88           87              15.35   202.00     2.00     0.00     0.00     0.00     0.00
89           88              31.50   212.00    33.00     0.00     0.00     0.00     0.00
90           89               8.33   166.00    -2.00     0.00     0.00     0.00     0.00
91           90               5.38   270.00   -14.00     0.00     0.00     0.00     0.00
92           91              22.47   208.00     4.00     0.00     0.00     0.00     0.00
93           92              12.93   202.00    12.00     0.00     0.00     0.00     0.00
93           93'             16.08     0.00   -90.00     0.00     0.00     0.00     0.00
94           93              11.22   180.00     3.00     0.00     0.00     0.00     0.00
95           94              32.78   202.00    37.00     0.00     0.00     0.00     0.00
96           95              26.25   210.00    54.00     0.00     0.00     0.00     0.00
97           96               5.54    90.00    18.00     0.00     0.00     0.00     0.00
98           97              56.43   150.00    63.00     0.00     0.00     0.00     0.00
99           98              30.48   270.00    24.00     0.00     0.00     0.00     0.00

[479] Kasztanowa Kastanienhohle
SURVEY NAME: DAREK I ZBYSZEK
SURVEY DATE: 8 19 2002  COMMENT:  ;dm
SURVEY TEAM:

DECLINATION:     1.67  FORMAT: DMMDLRUDLADN  CORRECTIONS:  0.00 0.00 0.00

    FROM      TO   LENGTH  BEARING      DIP     LEFT       UP     DOWN    RIGHT

12           13              87.11     0.00    90.00     0.00     0.00     0.00     0.00
11           12               7.55     6.00     3.25     0.00     0.00     0.00     0.00
10           11              15.49   202.00    24.00     0.00     0.00     0.00     0.00
9            10              26.77   269.00    42.00     0.00     0.00     0.00     0.00
8            9               40.68   233.00    36.00     0.00     0.00     0.00     0.00
7            8               10.33   220.00    51.00     0.00     0.00     0.00     0.00
6            7               15.81   216.00     5.00     0.00     0.00     0.00     0.00
1'           6               12.47   208.00    -8.00     0.00     0.00     0.00     0.00
5            6               13.78   342.00    60.00     0.00     0.00     0.00     0.00
4            5               11.91   340.00    17.00     0.00     0.00     0.00     0.00
3            4                5.64   220.00    50.00     0.00     0.00     0.00     0.00
2            3               10.10   285.00    60.00     0.00     0.00     0.00     0.00
1            2               32.45   286.00    34.00     0.00     0.00     0.00     0.00


